Gaji_D_Id,Gaji_H_Id,Karyawan_Id,Nilai_Gaji
1,1,416,14550934
2,1,426,14550934
3,1,502,4528231
4,1,485,14550934
5,1,622,7872252
6,1,696,4528231
7,1,174,4788228
8,1,610,7760393
9,1,198,4528231
10,1,27,14550934
11,1,313,8478691
12,1,251,4939757
13,1,78,4788228
14,1,24,8002418
15,1,693,4528231
16,1,258,13270061
17,1,399,8478691
18,1,111,8002418
19,1,296,4788228
20,1,230,4939757
21,1,245,14550934
22,1,425,8002418
23,1,33,9471530
24,1,543,4939757
25,1,678,13270061
26,1,618,4788228
27,1,345,8002418
28,1,322,8002418
29,1,599,4939757
30,1,662,4528231
31,1,641,14550934
32,1,669,8002418
33,1,362,4939757
34,1,682,13270061
35,1,250,4939757
36,1,53,4788228
37,1,602,13270061
38,1,268,4528231
39,1,697,8478691
40,1,467,7760393
41,1,4,7872252
42,1,470,8478691
43,1,101,13270061
44,1,501,4528231
45,1,330,8002418
46,1,639,13270061
47,1,357,7872252
48,1,367,8478691
49,1,479,4528231
50,1,323,7760393
51,1,278,8478691
52,1,312,8478691
53,1,228,14550934
54,1,261,4939757
55,1,350,13270061
56,1,398,7872252
57,1,276,7760393
58,1,498,8002418
59,1,76,7872252
60,1,475,8478691
61,1,435,4788228
62,1,420,7872252
63,1,400,8002418
64,1,34,4939757
65,1,207,9471530
66,1,529,4528231
67,1,572,7760393
68,1,283,14550934
69,1,265,4939757
70,1,565,8478691
71,1,139,4939757
72,1,88,8002418
73,1,633,9471530
74,1,140,4788228
75,1,288,7760393
76,1,455,8002418
77,1,181,4939757
78,1,132,13270061
79,1,320,7760393
80,1,661,8478691
81,1,321,7872252
82,1,613,7760393
83,1,314,9471530
84,1,536,4788228
85,1,130,8478691
86,1,387,8478691
87,1,676,8002418
88,1,593,4939757
89,1,563,4528231
90,1,358,9471530
91,1,570,14550934
92,1,116,4528231
93,1,142,13270061
94,1,291,4528231
95,1,627,7760393
96,1,385,8478691
97,1,297,4939757
98,1,173,4788228
99,1,471,14550934
100,1,448,7760393
101,1,620,8002418
102,1,437,4788228
103,1,158,8002418
104,1,530,13270061
105,1,366,9471530
106,1,551,8478691
107,1,446,8002418
108,1,105,8478691
109,1,521,4528231
110,1,47,8478691
111,1,451,9471530
112,1,168,14550934
113,1,480,8478691
114,1,341,7872252
115,1,476,13270061
116,1,577,14550934
117,1,356,13270061
118,1,29,14550934
119,1,690,13270061
120,1,146,7760393
121,1,594,4939757
122,1,595,4788228
123,1,377,7872252
